Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
ACA NeoGeo: Real Bout Fatal Fury Special,-5,10,9,0.2125624195167
ACA NeoGeo: Robo Army,-1,12,14,0.19115984242102
ACA NeoGeo: Samurai Shodown,0,12,12,0.231166853049739
ACA NeoGeo: Samurai Shodown II,-8,12,11,0.17503843252354
ACA NeoGeo: Samurai Shodown III,-5,7,6,0.141546580496053
ACA NeoGeo: Samurai Shodown IV,-8,15,13,0.244366678754378
ACA NeoGeo: Samurai Shodown V,-1,5,5,0.12379018821474
ACA NeoGeo: Sengoku,14,13,22,0.191121691937616
ACA NeoGeo: Sengoku 2,-4,9,6,0.158571367027618
ACA NeoGeo: Sengoku 3,-3,12,11,0.230312391458672
ACA NeoGeo: Shock Troopers,15,7,13,0.201089005775215
ACA NeoGeo: Soccer Brawl,6,5,8,0.148318486200638
ACA NeoGeo: SpinMaster,7,11,14,0.219823785584924
ACA NeoGeo: Stakes Winner,3,6,9,0.144304394828022
ACA NeoGeo: Street Hoop,20,11,22,0.24903972021199
ACA NeoGeo: Super Sidekicks,1,11,13,0.197229939930825
"ACA NeoGeo: The King of Fighters '94",-23,14,5,0.130646753721665
"ACA NeoGeo: The King of Fighters '95",9,6,10,0.169325700019722
"ACA NeoGeo: The King of Fighters '96",2,8,9,0.177295141927014
"ACA NeoGeo: The King of Fighters '98",-7,11,9,0.189073591065893
"ACA NeoGeo: The King of Fighters '99",0,4,3,0.125367828161445
ACA NeoGeo: The King of Fighters 2000,-15,15,9,0.156666695737613
ACA NeoGeo: The Last Blade,-9,15,12,0.237014987455487
ACA NeoGeo: The Last Blade 2,0,6,6,0.153543604578231
ACA NeoGeo: The Super Spy,-3,5,3,0.106740353025139
ACA NeoGeo: Twinkle Star Sprites,0,8,10,0.168198591576301
ACA NeoGeo: Waku Waku 7,4,8,10,0.175059592023056
ACA NeoGeo: World Heroes,-24,17,7,0.216938660053899
ACA NeoGeo: World Heroes 2,-3,20,22,0.19165369748762
ACA NeoGeo: World Heroes 2 Jet,-4,9,9,0.175059592023056
ACA NeoGeo: World Heroes Perfect,10,9,14,0.204046224107687
ACA NeoGeo: Zed Blade,1,2,3,8.17288805281595e-02
ACA NeoGeo: Zupapa!,0,6,5,0.150962855994381
ACORN Tactics,-6,11,9,0.172791549324056
ACT IT OUT! A Game of Charades,-2,9,8,0.128450578283984
ADIOS Amigos,0,3,4,9.29752697541374e-02
ADR1FT,-3,5,4,0.113864885709875
ADVERSE,-24,12,4,0.199974225023922
AER: Memories of Old,1,18,18,0.153949305861153
AFFECTED: The Manor,-6,6,4,0.128442169985475
AFL Evolution,-3,3,1,7.14609405813012e-02
AFL Evolution 2,4,6,9,0.150954677272087
AGOS: A Game of Space,6,6,9,0.16102063977431
AI War 2: The Spire Rises,0,6,6,0.148337214727406
AI: The Somnium Files,-8,15,13,0.137311595942968
AIPD - Artificial Intelligence Police Department,-3,11,11,0.143611575180931
ALTDEUS: Beyond Chronos,-4,12,14,0.131471625889771
AMF Bowling 2004,0,2,2,5.60606905184937e-02
AMF Bowling Pinbusters!,-2,3,2,6.26765265139084e-02
AMF Bowling World Lanes,-5,3,2,0.106728785546688
AMF Xtreme Bowling,-7,8,6,8.48583571383874e-02
AMID EVIL,2,5,6,0.150960811355349
AMY,-23,14,4,0.135081918260877
ANIMUS: Harbinger,5,5,6,0.159801178870485
ANNIE:Last Hope,4,4,7,0.12535797955558
AO International Tennis,9,9,11,0.120553367683429
AO Tennis,15,7,15,0.139418083093801
AO Tennis 2,-25,30,21,0.149941436478384
APB: Reloaded,-2,2,1,6.86622922458912e-02
AR Games,-1,6,7,0.144308672700264
ARC STYLE: Baseball 3D,-4,3,2,0.112121383199966
ARC STYLE: Soccer 3D,-2,7,8,0.137331327382305
ARC STYLE: Solitaire,2,2,4,8.40956254935284e-02
ARCADE FUZZ,3,4,5,0.129978787816329
ARIA CHRONICLE,-4,7,6,0.137324584491782
ARK Park,6,2,5,0.108546134565918
ARK: Survival Evolved,-17,17,13,0.140595901057771
ARK: Survival Evolved - Genesis,-7,12,11,0.144967553764565
ARKANOID Live!,0,3,4,9.29752697541374e-02
ARMORED HEAD,4,3,5,0.145655776941831
ARMS,-2,11,11,0.185948879583888
ASCENDANCE: First Horizon,-4,5,2,0.108560351665688
ASTRO AQUA KITTY,-2,6,4,0.128461393538675
ASTRONEER,2,8,9,0.181673543986767
ATOM RPG,-20,15,8,0.198068165925991
ATOMIK: RunGunJumpGun,4,3,5,0.104878478902404
ATOMINE,-12,22,19,0.145636703311559
ATRI -My Dear Moments-,-2,8,10,0.200194825449547
ATV Offroad Fury,1,5,5,0.135894919573265
ATV Offroad Fury 2,-2,4,3,0.104887307676511
ATV Offroad Fury 3,1,2,3,8.17288805281595e-02
ATV Offroad Fury 4,6,3,8,0.112107617698791
ATV Offroad Fury Pro,1,3,4,9.91111920015578e-02
"ATV Offroad Fury: Blazin' Trails",-6,6,4,0.142921881162602
ATV Quad Kings,2,2,3,8.86449594959785e-02
ATV Quad Power Racing 2,-10,19,17,0.150937408524379
ATV Wild Ride 3D,2,8,9,0.165844186712832
ATV: Quad Power Racing,0,6,6,9.91022360590682e-02
AVICII Invector,-2,16,13,0.134424157690643
AVICII Invector Encore Edition,0,4,5,0.112132394384201
Aabs Animals,-7,7,4,0.141533496037634
Aaero,-11,13,9,0.133678768720449
Aaero: Complete Edition,1,7,7,0.147006284333044
"Aaru's Awakening",-3,4,2,0.106740353025139
Abo Khashem,9,7,10,0.182719239240274
Aborigenus,-2,6,5,0.122190917813504
"About Love, Hate & The Other Ones 2",2,2,3,9.29719498609099e-02
Absolute Drift,4,4,6,0.118923983302215
Absolute Drift: Zen Edition,-1,7,6,0.105812050653722
Absolutely Unstoppable MineRun,-11,8,4,0.146943281186842
Absolver,0,14,17,0.157319922589627
Abyss,-2,4,4,0.101071720548981
Abyss Odyssey,-11,12,6,0.1322012219268
Abyss Odyssey: Extended Dream Edition,0,3,3,9.71095021238936e-02
Abyss of the Sacrifice,-13,11,4,0.178328432973042
Abyss: The Wraiths of Eden,-13,26,24,0.221140954330199
Academia: School Simulator,17,5,10,0.197117228600727
Academy of Champions: Soccer,1,3,4,9.91111920015578e-02
Acalesia,-7,7,4,0.126895458611235
Accel World vs. Sword Art Online: Millennium Twilight,-2,8,8,0.175064881498329
Acceleration of SUGURI X-Edition,-2,7,6,0.13443972204557
Access Denied,-7,18,13,0.140610532378984
Accounting+,-3,4,3,7.00733859528465e-02
Ace Armstrong vs. the Alien Scumbags!,-6,7,6,0.137313345605099
Ace Banana,-15,10,4,0.157224984992039
Ace Combat 04: Shattered Skies,2,4,6,0.115580756020692
Ace Combat 2,4,6,9,0.161030224050964
Ace Combat 5: The Unsung War,-6,5,2,0.122170707605325
Ace Combat 6: Fires of Liberation,-8,6,3,0.122153020930226
Ace Combat 7: Skies Unknown,-5,16,13,0.137790001244964
Ace Combat Advance,-3,6,4,0.132967439243968
Ace Combat Infinity,4,5,8,0.137324584491782
Ace Combat X: Skies of Deception,-5,6,5,0.129969288612895
Ace Combat Zero: The Belkan War,-8,5,1,9.70586328159903e-02
Ace Combat: Assault Horizon,3,9,13,0.107952010007782
Ace Combat: Assault Horizon Legacy,-5,8,7,0.167014911367471
Ace Combat: Assault Horizon Legacy+,-6,7,6,0.10487332771829
Ace Combat: Joint Assault,-8,6,3,0.122153020930226
Ace of Seafood,-28,25,16,0.186904837775798
Aces of the Galaxy,-17,10,2,0.157193570819883
Aces of the Luftwaffe,0,4,4,0.115583426524869
Aces of the Luftwaffe: Squadron,10,25,31,0.177268830471778
Aces of the Multiverse,-2,6,5,0.145662134171079
Achtung! Cthulhu Tactics,8,14,23,0.141999609408047
Acorn Assault: Rodent Revolution,-19,12,5,0.176027110962491
Acron: Attack of the Squirrels!,-2,5,6,0.137331327382305
Across the Grooves,-28,28,19,0.220642636071697
Action Arcade Wrestling,-3,3,2,8.17213268526399e-02
Action Bass,-2,2,1,6.86622922458912e-02
Action Girlz Racing,-17,10,5,0.180467074215948
Action Henk,6,7,11,0.123773043394542
Action News Heroes,-6,12,10,0.220720253541238
Active Life Explorer,1,2,3,8.17288805281595e-02
Active Life: Extreme Challenge,-6,6,3,0.118911005293413
Active Life: Magical Carnival,15,3,12,0.154705660170696
Active Life: Outdoor Challenge,2,3,4,0.104887307676511
Active Neurons - Puzzle game,0,6,6,0.153543604578231
Active Neurons 2,-3,5,3,0.120569156219635
Active Neurons 3 - Wonders Of The World,1,10,14,0.129213357866026
Active Soccer 2 DX,-10,12,7,0.131459302047822
Active Soccer 2019,2,6,8,9.91014575624044e-02
Activision Anthology,14,9,15,0.149615829820078
Activision Hits Remixed,-6,5,3,0.115559389765584
Actual Crimes: Jack the Ripper,-6,5,3,8.17133004000494e-02
Actual Sunlight,-10,6,1,0.104816656661359
AdVenture Capitalist,5,7,9,0.169351218584279
Adabana Odd Tales,-4,12,10,0.217137762063839
"Adam's Venture Chronicles",5,4,7,0.12691005226398
"Adam's Venture: Origins",4,23,27,0.17727289218719
Adidas miCoach,-5,10,10,0.135153862527985
Adios,-11,14,9,0.1276660201303
Adrenalin Misfits,-3,4,3,9.91049631962976e-02
Advance Guardian Heroes,-12,8,4,0.168132514735576
Advance Wars,-4,5,4,0.148328891229673
Advance Wars 2: Black Hole Rising,-13,9,5,0.149568628408067
Advent Rising,-4,6,5,0.134432834117803
Adventure Bar Story,3,3,6,0.120569156219635
Adventure Boy Jailbreak,-12,10,6,0.153471218180913
Adventure Island: The Beginning,-15,10,6,0.173840956693231
Adventure Labyrinth Story,3,6,8,0.13589037683366
Adventure Pop,-17,22,16,0.204517457339149
"Adventure Time: Explore the Dungeon Because I DON'T KNOW!",-8,22,22,0.137311096392869
Adventure Time: Finn and Jake Investigations,-2,16,20,0.122175285052345
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!",-6,6,3,0.134421353453867
Adventure Time: Pirates of the Enchiridion,-10,17,14,0.10105583875747
Adventure Time: The Secret of the Nameless Kingdom,-10,13,9,0.117805268935443
Adventure on Lost Island: Hidden Object Game,-5,4,2,9.50445675122114e-02
Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,11,5,9,0.16930747011877
Adventures of Chris,11,13,21,0.15916709971745
Adventures of Isabelle Fine: Murder on Rails,-8,7,4,0.150930138446034
Adventures of Pip,-1,21,26,0.121205846441157
Adventures to Go!,-2,5,5,0.13148453995354
Aedis Eclipse: Generation of Chaos,0,3,3,0.101074774398197
Aefen Fall,-3,4,3,9.91049631962976e-02
Aegis Defenders,-1,17,15,0.167596973581346
Aegis Wing,1,6,8,0.138756202681971
Aegis of Earth: Protonovus Assault,-3,5,4,0.113864885709875
Aenigma Os,1,4,5,0.117270207062361
Aeolis Tournament,7,7,10,0.184870532007567
Aeon Flux,8,4,8,9.70872507057596e-02
AereA,-16,13,7,0.125316119667582
"Aerial_Knight's Never Yield",13,23,30,0.150609552458443
Aero Elite: Combat Academy,0,2,2,5.60606905184937e-02
Aero Porter,-2,5,4,0.13443972204557
Aero Racer,8,6,9,0.181648057272808
Aero the Acro-Bat 2,-5,5,3,0.123775226716618
Aero the Acro-bat,11,3,7,0.107630902457401
AeroWings 2: Air Strike,-10,6,3,0.15349333986854
Aeronautica Imperialis: Flight Command,-4,7,5,0.150954677272087
Aery - A Journey Beyond Time,7,4,7,0.154793422292791
Aery - Little Bird Adventure,-7,5,2,8.04992976395401e-02
Aery - Sky Castle,-7,8,6,0.146981086315304
AeternoBlade,-8,19,15,0.147428581699741
AeternoBlade II,-3,14,13,0.124827402999577
Affordable Space Adventures,-3,4,4,7.80309541267147e-02
Afrika,1,4,4,0.120574276200792
Afro Samurai,-2,13,11,0.153528021415191
Afro Samurai 2: Revenge of Kuma Volume One,-4,4,3,9.29619894698597e-02
After Burner Climax,6,10,10,0.152239182947995
After Burner: Black Falcon,5,7,9,0.178390733233438
Aftercharge,1,5,5,0.132972081840243
Afterparty,12,28,35,0.155550080332405
Against The Moon,-11,13,11,0.21800350970459
Agartha-S,7,4,8,0.126895458611235
