Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
3D Thunder Blade,0,4,4,7.92817888472546e-02
3D Twist & Match,0,4,4,7.92817888472546e-02
3D Ultra MiniGolf Adventures,8,4,8,9.70872507057596e-02
3D Ultra MiniGolf Adventures 2,0,8,8,7.92778959013954e-02
3Souls,0,4,4,7.92817888472546e-02
3on3 Freestyle,16,10,20,0.102973021911684
3rd Eye,0,4,4,7.92817888472546e-02
4 Elements,0,4,4,7.92817888472546e-02
4 Elements HD,10,6,10,0.120547074627162
428: Shibuya Scramble,0,4,4,7.92817888472546e-02
4x4 EVO 2,10,12,22,0.118084061970294
4x4 Evolution,14,10,16,0.10763851859292
5 Arcade Gems,0,4,4,7.92817888472546e-02
5 Spots Party,-4,6,4,8.86362530225011e-02
5 Star Wrestling,0,4,4,7.92817888472546e-02
5 Star Wrestling: ReGenesis,0,4,4,7.92817888472546e-02
5-in-1 Solitaire,0,4,4,7.92817888472546e-02
50 Cent: Blood on the Sand,8,12,18,0.102982011394037
50 Cent: Bulletproof,-2,10,10,8.52465546445189e-02
50 Cent: Bulletproof G Unit Edition,-40,20,4,0.165643558799131
50 Classic Games 3D,0,4,4,7.92817888472546e-02
50 Pinch Barrage!!,0,4,4,7.92817888472546e-02
50 Years,0,4,4,7.92817888472546e-02
5D Chess With Multiverse Time Travel,0,4,4,7.92817888472546e-02
6-Hand Video Poker,0,4,4,7.92817888472546e-02
60 Parsecs!,-4,10,8,8.40859892616487e-02
60 Seconds!,-4,14,12,8.25132841977151e-02
60 Seconds! Reatomized,34,18,34,0.128932244919627
6180 the Moon,0,16,18,9.00990544190188e-02
7 Billion Humans,0,4,4,7.92817888472546e-02
7 Days to Die,12,18,24,0.13146223628543
7 Wonders of the Ancient World,0,8,8,7.92778959013954e-02
7th Dragon III Code: VFD,0,4,4,7.92817888472546e-02
7th Sector,-6,16,14,8.63887772921831e-02
8 to Glory: The Official Game of the PBR,0,8,8,7.92778959013954e-02
8-Bit Adv Steins;Gate,0,4,4,7.92817888472546e-02
8-Bit Adventure Anthology: Volume One,0,8,8,7.92778959013954e-02
8-Bit Armies,0,8,8,7.92778959013954e-02
8-Bit Hordes,-4,10,8,8.40859892616487e-02
8-Bit Invaders!,-12,22,20,0.138731313381168
80 DAYS,0,4,4,7.92817888472546e-02
"80's Overdrive",12,8,16,9.08165951244433e-02
88 Heroes,0,8,8,7.92778959013954e-02
88 Heroes: 98 Heroes Edition,0,4,4,7.92817888472546e-02
8Bit Hero,0,4,4,7.92817888472546e-02
8DAYS,-4,10,8,8.40859892616487e-02
8Doors,0,4,4,7.92817888472546e-02
9 Monkeys of Shaolin,8,24,26,0.112984929245312
9-nine-:Episode 3,0,4,4,7.92817888472546e-02
9-nine-:Episode 4,-4,6,4,8.86362530225011e-02
911 Operator,-2,14,12,0.105806855001726
911 Operator: Deluxe Edition,0,4,4,7.92817888472546e-02
99Moves,0,4,4,7.92817888472546e-02
99Seconds,0,4,4,7.92817888472546e-02
99Vidas,-16,22,16,0.137304354495676
99Vidas: Definitive Edition,0,4,4,7.92817888472546e-02
9th Dawn III: Shadow of Erthil,-22,32,20,0.148960348264159
"A Bastard's Tale",-14,12,6,0.117227103196624
A Boy and His Blob,22,12,26,9.50383904902822e-02
A Case of Distrust,0,4,4,7.92817888472546e-02
A Dark Room,0,4,4,7.92817888472546e-02
A Day Without Me,4,8,14,0.140149524366505
A Duel Hand Disaster: Trackher,0,4,4,7.92817888472546e-02
A Familiar Fairytale: Dyslexic Text Based Adventure,0,4,4,7.92817888472546e-02
"A Fisherman's Tale",4,16,20,0.16582789793543
A Fold Apart,0,16,16,7.92759496435017e-02
A Game of Thrones: The Board Game - Digital Edition,0,4,4,7.92817888472546e-02
"A Gummy's Life",-28,18,6,0.155969435905684
